0;500
1;265
2;236
3;209
4;204
5;171
6;168
7;152
8;177
9;170
10;155
11;141
12;161
13;158
14;170
15;155
16;149
17;158
18;158
19;160
20;150
21;148
22;157
23;158
24;148
25;150
26;156
27;151
28;150
29;134
30;145
31;154
32;146
33;143
34;138
35;152
36;147
37;136
38;134
39;141
40;149
41;153
42;132
43;153
44;149
45;141
46;150
47;150
48;144
49;138
50;136
51;135
52;137
53;144
54;145
55;138
56;139
57;139
58;141
59;149
60;147
61;158
62;138
63;147
64;157
65;153
66;151
67;154
68;149
69;160
70;153
71;168
72;154
73;156
74;153
75;144
76;156
77;157
78;154
79;153
80;151
81;164
82;169
83;165
84;156
85;149
86;164
87;166
88;170
89;181
90;182
91;183
92;166
93;154
94;151
95;158
96;149
97;143
98;152
99;137
100;147
101;145
102;138
103;156
104;150
105;151
106;142
107;155
108;153
109;140
110;146
111;155
112;156
113;166
114;148
115;152
116;158
117;160
118;151
119;153
120;148
121;153
122;137
123;154
124;156
125;141
126;138
127;136
128;136
129;139
130;153
131;155
132;145
133;146
134;150
135;143
136;157
137;142
138;154
139;134
140;143
141;143
142;137
143;135
144;147
145;139
146;148
147;136
148;149
149;142
150;139
151;155
152;125
153;153
154;160
155;139
156;158
157;150
158;130
159;147
160;137
161;164
162;166
163;165
164;148
165;158
166;151
167;188
168;176
169;163
170;177
171;190
172;192
173;202
174;209
175;214
176;208
177;225
178;243
179;263
180;302
181;270
182;227
183;202
184;198
185;196
186;183
187;159
188;154
189;152
190;158
191;159
192;157
193;165
194;145
195;152
196;142
197;145
198;157
199;157
200;149
201;141
202;160
203;157
204;145
205;148
206;151
207;146
208;141
209;140
